Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:06:44	13:06:44	13:06:44			13:06:44	13:06:44	13:06:44	13:06:44	13:06:44	13:06:44	13:06:44	13:06:45	13:06:45	13:06:45	13:06:45	13:06:45	13:06:45			13:06:45	13:06:45		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
1	13:06:45	13:06:45	13:06:45	13:06:45	13:06:45	13:06:45	13:06:45	13:06:45	13:06:45	13:06:45	13:06:45	13:06:45	13:06:46	13:06:46	13:06:46	13:06:46	13:06:46	13:06:46			13:06:46	13:06:46		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
2	13:06:46	13:06:46	13:06:46	13:06:46	13:06:46	13:06:46			13:06:46	13:06:46	13:06:46	13:06:46	13:06:47	13:06:47	13:06:47	13:06:47	13:06:47	13:06:47			13:06:47	13:06:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
3	13:06:47	13:06:47	13:06:47	13:06:47	13:06:47	13:06:47			13:06:47	13:06:47	13:06:47	13:06:47	13:06:48	13:06:48	13:06:48	13:06:48	13:06:48	13:06:48			13:06:48	13:06:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
4	13:06:48	13:06:48	13:06:48	13:06:48	13:06:48	13:06:48			13:06:48	13:06:48	13:06:48	13:06:48	13:06:49	13:06:49	13:06:49	13:06:49	13:06:49	13:06:49			13:06:49	13:06:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
5	13:06:49	13:06:49	13:06:49	13:06:49	13:06:49	13:06:49			13:06:49	13:06:49	13:06:49	13:06:49	13:06:50	13:06:50	13:06:50	13:06:50	13:06:50	13:06:50			13:06:50	13:06:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
6	13:06:50	13:06:50	13:06:50	13:06:50	13:06:50	13:06:50			13:06:50	13:06:50	13:06:50	13:06:50	13:06:51	13:06:51	13:06:51	13:06:51	13:06:51	13:06:51			13:06:51	13:06:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
7	13:06:51	13:06:51	13:06:51	13:06:51	13:06:51	13:06:51			13:06:51	13:06:51	13:06:51	13:06:51	13:06:51	13:06:51	13:06:51	13:06:51	13:06:51	13:06:51			13:06:52	13:06:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
8	13:06:52	13:06:52	13:06:52	13:06:52	13:06:52	13:06:52			13:06:52	13:06:52	13:06:52	13:06:52	13:06:52	13:06:52	13:06:52	13:06:52	13:06:52	13:06:52			13:06:53	13:06:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
9	13:06:53	13:06:53	13:06:53	13:06:53	13:06:53	13:06:53			13:06:53	13:06:53	13:06:53	13:06:53	13:06:53	13:06:53	13:06:53	13:06:53	13:06:53	13:06:53			13:06:53	13:06:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
10	13:06:53	13:06:53	13:06:53	13:06:53	13:06:53	13:06:53			13:06:53	13:06:53	13:06:53	13:06:53	13:06:54	13:06:54	13:06:54	13:06:54	13:06:54	13:06:54	13:06:54	13:06:54	13:06:54	13:06:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
